SKU,Region,Rate,Version,MeterSubCategory
A6,US East,481.8,,A Series Windows
A6,US West,481.8,,A Series Windows
A6,EU North,438,,A Series Windows
A6,US East 2,438,,A Series Windows
A6,AP Southeast,467.2,,A Series Windows
A6,AP East,525.6,,A Series Windows
A6,EU West,496.40000000000003,,A Series Windows
A7,US West 2,876,,A Series Windows
A7,US East 2,876,,A Series Windows
A7,AP Southeast,934.4,,A Series Windows
A7,US West,963.6,,A Series Windows
A7,EU West,992.8000000000001,,A Series Windows
A7,US East,963.6,,A Series Windows
A7,AP East,1051.2,,A Series Windows
A7,EU North,876,,A Series Windows
A8,EU West,1133.69,,A Series Windows
A8,US West,1070.18,,A Series Windows
A8,US East,1070.18,,A Series Windows
A8,EU North,985.5000000000001,,A Series Windows
A9,US West,2141.0899999999997,,A Series Windows
A9,EU North,1971.0000000000002,,A Series Windows
A9,EU West,2266.65,,A Series Windows
A9,US East,2141.0899999999997,,A Series Windows
B12ms,AP East,546.77,,BS Series Windows
B12ms,US East 2,399.31,,BS Series Windows
B12ms,EU North,433.62,,BS Series Windows
B12ms,US East,399.31,,BS Series Windows
B12ms,EU West,455.52,,BS Series Windows
B12ms,US West,469.39,,BS Series Windows
B12ms,US West 2,399.31,,BS Series Windows
B12ms,AP Southeast,497.86,,BS Series Windows
B16ms,AP East,728.54,,BS Series Windows
B16ms,AP Southeast,663.57,,BS Series Windows
B16ms,US East,532.9,,BS Series Windows
B16ms,EU West,607.36,,BS Series Windows
B16ms,US West 2,532.9,,BS Series Windows
B16ms,EU North,578.1600000000001,,BS Series Windows
B16ms,US West,626.34,,BS Series Windows
B16ms,US East 2,532.9,,BS Series Windows
B1ls,AP East,8.248999999999999,,BS Series Windows
B1ls,US East 2,7.154,,BS Series Windows
B1ls,EU North,7.519,,BS Series Windows
B1ls,US West 2,7.154,,BS Series Windows
B1ls,EU West,7.738,,BS Series Windows
B1ls,US East,7.154,,BS Series Windows
B1ls,AP Southeast,8.176,,BS Series Windows
B1ls,US West,7.884,,BS Series Windows
B1ms,US West 2,17.958000000000002,,BS Series Windows
B1ms,AP East,24.236,,BS Series Windows
B1ms,US West,21.024,,BS Series Windows
B1ms,AP Southeast,22.192,,BS Series Windows
B1ms,US East,17.958000000000002,,BS Series Windows
B1ms,US East 2,17.958000000000002,,BS Series Windows
B1ms,EU West,20.221,,BS Series Windows
B1ms,EU North,19.126,,BS Series Windows
B1s,US West 2,10.22,,BS Series Windows
B1s,AP East,13.578,,BS Series Windows
B1s,AP Southeast,12.556,,BS Series Windows
B1s,US West,11.972000000000001,,BS Series Windows
B1s,EU West,11.68,,BS Series Windows
B1s,EU North,11.168999999999999,,BS Series Windows
B1s,US East,10.22,,BS Series Windows
B1s,US East 2,10.22,,BS Series Windows
B20ms,AP East,911.04,,BS Series Windows
B20ms,EU North,721.97,,BS Series Windows
B20ms,US East,665.76,,BS Series Windows
B20ms,US West,782.5600000000001,,BS Series Windows
B20ms,AP Southeast,829.28,,BS Series Windows
B20ms,US East 2,665.76,,BS Series Windows
B20ms,EU West,759.2,,BS Series Windows
B20ms,US West 2,665.76,,BS Series Windows
B2ms,AP East,91.25,,BS Series Windows
B2ms,AP Southeast,83.22,,BS Series Windows
B2ms,US West,78.11,,BS Series Windows
B2ms,US East 2,66.57600000000001,,BS Series Windows
B2ms,US East,66.57600000000001,,BS Series Windows
B2ms,EU North,72.416,,BS Series Windows
B2ms,EU West,75.92,,BS Series Windows
B2ms,US West 2,66.57600000000001,,BS Series Windows
B2s,AP East,48.472,,BS Series Windows
B2s,US East,36.208,,BS Series Windows
B2s,US East 2,36.208,,BS Series Windows
B2s,US West 2,36.208,,BS Series Windows
B2s,EU North,39.128,,BS Series Windows
B2s,AP Southeast,44.384,,BS Series Windows
B2s,EU West,40.88,,BS Series Windows
B2s,US West,42.048,,BS Series Windows
B4ms,AP East,182.5,,BS Series Windows
B4ms,US West,156.22,,BS Series Windows
B4ms,US East,132.85999999999999,,BS Series Windows
B4ms,AP Southeast,165.71,,BS Series Windows
B4ms,US West 2,132.85999999999999,,BS Series Windows
B4ms,US East 2,132.85999999999999,,BS Series Windows
B4ms,EU West,151.84,,BS Series Windows
B4ms,EU North,144.54000000000002,,BS Series Windows
B8ms,AP East,364.27,,BS Series Windows
B8ms,EU North,289.81,,BS Series Windows
B8ms,US West 2,266.45,,BS Series Windows
B8ms,EU West,303.68,,BS Series Windows
B8ms,US East 2,266.45,,BS Series Windows
B8ms,US West,313.17,,BS Series Windows
B8ms,AP Southeast,331.42,,BS Series Windows
B8ms,US East,266.45,,BS Series Windows
D1,US West,102.2,,D/DS Series Windows
D1,US East 2,94.9,,D/DS Series Windows
D1,EU North,94.17,,D/DS Series Windows
D1,AP Southeast,117.53,,D/DS Series Windows
D1,US East,102.2,,D/DS Series Windows
D1,EU West,108.03999999999999,,D/DS Series Windows
D1,AP East,135.05,,D/DS Series Windows
D11,AP Southeast,223.38,,D/DS Series Windows
D11,AP East,256.96,,D/DS Series Windows
D11,EU North,177.39,,D/DS Series Windows
D11,US East 2,177.39,,D/DS Series Windows
D11,EU West,203.67000000000002,,D/DS Series Windows
D11,US East,192.72,,D/DS Series Windows
D11,US West,192.72,,D/DS Series Windows
D12,AP East,513.1899999999999,,D/DS Series Windows
D12,US East,385.44,,D/DS Series Windows
D12,US East 2,354.78,,D/DS Series Windows
D12,AP Southeast,446.76,,D/DS Series Windows
D12,EU North,354.78,,D/DS Series Windows
D12,EU West,408.07000000000005,,D/DS Series Windows
D12,US West,385.44,,D/DS Series Windows
D13,US East,770.88,,D/DS Series Windows
D13,EU West,816.1400000000001,,D/DS Series Windows
D13,US East 2,709.56,,D/DS Series Windows
D13,US West,770.88,,D/DS Series Windows
D13,EU North,709.56,,D/DS Series Windows
D13,AP Southeast,893.52,,D/DS Series Windows
D13,AP East,1027.1100000000001,,D/DS Series Windows
D14,EU West,1632.2800000000002,,D/DS Series Windows
D14,US East 2,1419.12,,D/DS Series Windows
D14,US East,1541.0300000000002,,D/DS Series Windows
D14,AP Southeast,1786.31,,D/DS Series Windows
D14,EU North,1419.12,,D/DS Series Windows
D14,AP East,2054.2200000000003,,D/DS Series Windows
D14,US West,1541.0300000000002,,D/DS Series Windows
D2,US East,204.4,,D/DS Series Windows
D2,EU North,188.34,,D/DS Series Windows
D2,US West,204.4,,D/DS Series Windows
D2,US East 2,189.8,,D/DS Series Windows
D2,AP East,270.1,,D/DS Series Windows
D2,AP Southeast,235.06,,D/DS Series Windows
D2,EU West,216.81,,D/DS Series Windows
D3,EU North,376.68,,D/DS Series Windows
D3,AP East,540.93,,D/DS Series Windows
D3,US East 2,379.6,,D/DS Series Windows
D3,AP Southeast,470.12,,D/DS Series Windows
D3,EU West,432.89,,D/DS Series Windows
D3,US East,408.8,,D/DS Series Windows
D3,US West,408.8,,D/DS Series Windows
D4,AP Southeast,940.24,,D/DS Series Windows
D4,EU West,866.51,,D/DS Series Windows
D4,AP East,1081.13,,D/DS Series Windows
D4,US East 2,759.2,,D/DS Series Windows
D4,EU North,753.36,,D/DS Series Windows
D4,US East,817.6,,D/DS Series Windows
D4,US West,817.6,,D/DS Series Windows
DC2s,EU West,221.19,,DCS Series Windows
DC2s,US East,178.12,,DCS Series Windows
DC4s,US East,355.51,,DCS Series Windows
DC4s,EU West,442.38,,DCS Series Windows
DS1,US West,102.2,,D/DS Series Windows
DS1,US East 2,94.9,,D/DS Series Windows
DS1,EU North,94.17,,D/DS Series Windows
DS1,AP Southeast,117.53,,D/DS Series Windows
DS1,US East,102.2,,D/DS Series Windows
DS1,EU West,108.03999999999999,,D/DS Series Windows
DS1,AP East,135.05,,D/DS Series Windows
DS11,AP Southeast,223.38,,D/DS Series Windows
DS11,AP East,256.96,,D/DS Series Windows
DS11,EU North,177.39,,D/DS Series Windows
DS11,US East 2,177.39,,D/DS Series Windows
DS11,EU West,203.67000000000002,,D/DS Series Windows
DS11,US East,192.72,,D/DS Series Windows
DS11,US West,192.72,,D/DS Series Windows
DS12,AP East,513.1899999999999,,D/DS Series Windows
DS12,US East,385.44,,D/DS Series Windows
DS12,US East 2,354.78,,D/DS Series Windows
DS12,AP Southeast,446.76,,D/DS Series Windows
DS12,EU North,354.78,,D/DS Series Windows
DS12,EU West,408.07000000000005,,D/DS Series Windows
DS12,US West,385.44,,D/DS Series Windows
DS13,US East,770.88,,D/DS Series Windows
DS13,EU West,816.1400000000001,,D/DS Series Windows
DS13,US East 2,709.56,,D/DS Series Windows
DS13,US West,770.88,,D/DS Series Windows
DS13,EU North,709.56,,D/DS Series Windows
DS13,AP Southeast,893.52,,D/DS Series Windows
DS13,AP East,1027.1100000000001,,D/DS Series Windows
DS14,EU West,1632.2800000000002,,D/DS Series Windows
DS14,US East 2,1419.12,,D/DS Series Windows
DS14,US East,1541.0300000000002,,D/DS Series Windows
DS14,AP Southeast,1786.31,,D/DS Series Windows
DS14,EU North,1419.12,,D/DS Series Windows
DS14,AP East,2054.2200000000003,,D/DS Series Windows
DS14,US West,1541.0300000000002,,D/DS Series Windows
DS2,US East,204.4,,D/DS Series Windows
DS2,EU North,188.34,,D/DS Series Windows
DS2,US West,204.4,,D/DS Series Windows
DS2,US East 2,189.8,,D/DS Series Windows
DS2,AP East,270.1,,D/DS Series Windows
DS2,AP Southeast,235.06,,D/DS Series Windows
DS2,EU West,216.81,,D/DS Series Windows
DS3,EU North,376.68,,D/DS Series Windows
DS3,AP East,540.93,,D/DS Series Windows
DS3,US East 2,379.6,,D/DS Series Windows
DS3,AP Southeast,470.12,,D/DS Series Windows
DS3,EU West,432.89,,D/DS Series Windows
DS3,US East,408.8,,D/DS Series Windows
DS3,US West,408.8,,D/DS Series Windows
DS4,AP Southeast,940.24,,D/DS Series Windows
DS4,EU West,866.51,,D/DS Series Windows
DS4,AP East,1081.13,,D/DS Series Windows
DS4,US East 2,759.2,,D/DS Series Windows
DS4,EU North,753.36,,D/DS Series Windows
DS4,US East,817.6,,D/DS Series Windows
DS4,US West,817.6,,D/DS Series Windows
F1,US East 2,69.86099999999999,,F/FS Series Windows
F1,US East,69.86099999999999,,F/FS Series Windows
F1,US West 2,69.86099999999999,,F/FS Series Windows
F1,AP Southeast,75.92,,F/FS Series Windows
F1,EU West,75.19,,F/FS Series Windows
F1,AP East,94.17,,F/FS Series Windows
F1,US West,78.84,,F/FS Series Windows
F1,EU North,74.46,,F/FS Series Windows
F16,US West,1264.36,,F/FS Series Windows
F16,US East 2,1118.3600000000001,,F/FS Series Windows
F16,AP East,1512.56,,F/FS Series Windows
F16,EU West,1200.85,,F/FS Series Windows
F16,AP Southeast,1211.8,,F/FS Series Windows
F16,US East,1118.3600000000001,,F/FS Series Windows
F16,US West 2,1118.3600000000001,,F/FS Series Windows
F16,EU North,1191.36,,F/FS Series Windows
F16s,US West,1264.36,,F/FS Series Windows
F16s,US East 2,1118.3600000000001,,F/FS Series Windows
F16s,AP East,1512.56,,F/FS Series Windows
F16s,EU West,1200.85,,F/FS Series Windows
F16s,AP Southeast,1211.8,,F/FS Series Windows
F16s,US East,1118.3600000000001,,F/FS Series Windows
F16s,US West 2,1118.3600000000001,,F/FS Series Windows
F16s,EU North,1191.36,,F/FS Series Windows
F1s,US East 2,69.86099999999999,,F/FS Series Windows
F1s,US East,69.86099999999999,,F/FS Series Windows
F1s,US West 2,69.86099999999999,,F/FS Series Windows
F1s,AP Southeast,75.92,,F/FS Series Windows
F1s,EU West,75.19,,F/FS Series Windows
F1s,AP East,94.17,,F/FS Series Windows
F1s,US West,78.84,,F/FS Series Windows
F1s,EU North,74.46,,F/FS Series Windows
F2,US East 2,140.16,,F/FS Series Windows
F2,US West 2,140.16,,F/FS Series Windows
F2,AP East,189.07,,F/FS Series Windows
F2,US West,157.68,,F/FS Series Windows
F2,EU West,150.38,,F/FS Series Windows
F2,US East,140.16,,F/FS Series Windows
F2,AP Southeast,151.10999999999999,,F/FS Series Windows
F2,EU North,148.92,,F/FS Series Windows
F2s,US East 2,140.16,,F/FS Series Windows
F2s,US West 2,140.16,,F/FS Series Windows
F2s,AP East,189.07,,F/FS Series Windows
F2s,US West,157.68,,F/FS Series Windows
F2s,EU West,150.38,,F/FS Series Windows
F2s,US East,140.16,,F/FS Series Windows
F2s,AP Southeast,151.10999999999999,,F/FS Series Windows
F2s,EU North,148.92,,F/FS Series Windows
F4,US East 2,279.59000000000003,,F/FS Series Windows
F4,AP East,378.14,,F/FS Series Windows
F4,EU West,300.03,,F/FS Series Windows
F4,US West 2,279.59000000000003,,F/FS Series Windows
F4,AP Southeast,302.95,,F/FS Series Windows
F4,US West,316.09,,F/FS Series Windows
F4,US East,279.59000000000003,,F/FS Series Windows
F4,EU North,297.84,,F/FS Series Windows
F4s,US East 2,279.59000000000003,,F/FS Series Windows
F4s,AP East,378.14,,F/FS Series Windows
F4s,EU West,300.03,,F/FS Series Windows
F4s,US West 2,279.59000000000003,,F/FS Series Windows
F4s,AP Southeast,302.95,,F/FS Series Windows
F4s,US West,316.09,,F/FS Series Windows
F4s,US East,279.59000000000003,,F/FS Series Windows
F4s,EU North,297.84,,F/FS Series Windows
F8,AP East,756.28,,F/FS Series Windows
F8,US East 2,559.1800000000001,,F/FS Series Windows
F8,US West 2,559.1800000000001,,F/FS Series Windows
F8,EU West,600.06,,F/FS Series Windows
F8,US West,632.18,,F/FS Series Windows
F8,US East,559.1800000000001,,F/FS Series Windows
F8,AP Southeast,605.9,,F/FS Series Windows
F8,EU North,595.68,,F/FS Series Windows
F8s,AP East,756.28,,F/FS Series Windows
F8s,US East 2,559.1800000000001,,F/FS Series Windows
F8s,US West 2,559.1800000000001,,F/FS Series Windows
F8s,EU West,600.06,,F/FS Series Windows
F8s,US West,632.18,,F/FS Series Windows
F8s,US East,559.1800000000001,,F/FS Series Windows
F8s,AP Southeast,605.9,,F/FS Series Windows
F8s,EU North,595.68,,F/FS Series Windows
G1,US West 2,408.07000000000005,,G/GS Series Windows
G1,EU West,562.1,,G/GS Series Windows
G1,AP Southeast,532.9,,G/GS Series Windows
G1,US West,489.1,,G/GS Series Windows
G1,US East 2,445.3,,G/GS Series Windows
G2,US West 2,816.87,,G/GS Series Windows
G2,EU West,1124.2,,G/GS Series Windows
G2,AP Southeast,1065.8,,G/GS Series Windows
G2,US West,978.2,,G/GS Series Windows
G2,US East 2,890.6,,G/GS Series Windows
G3,US West 2,1633.74,,G/GS Series Windows
G3,EU West,2248.4,,G/GS Series Windows
G3,AP Southeast,2131.6,,G/GS Series Windows
G3,US West,1956.4,,G/GS Series Windows
G3,US East 2,1781.2,,G/GS Series Windows
G4,US West 2,3266.7499999999995,,G/GS Series Windows
G4,AP Southeast,4263.2,,G/GS Series Windows
G4,EU West,4496.8,,G/GS Series Windows
G4,US East 2,3562.4,,G/GS Series Windows
G4,US West,3912.8,,G/GS Series Windows
G5,US West 2,6409.4,,G/GS Series Windows
G5,EU West,8103,,G/GS Series Windows
G5,AP Southeast,7694.2,,G/GS Series Windows
G5,US West,7044.5,,G/GS Series Windows
G5,US East 2,6409.4,,G/GS Series Windows
GS1,US West 2,408.07000000000005,,G/GS Series Windows
GS1,EU West,562.1,,G/GS Series Windows
GS1,AP Southeast,532.9,,G/GS Series Windows
GS1,US West,489.1,,G/GS Series Windows
GS1,US East 2,445.3,,G/GS Series Windows
GS2,US West 2,816.87,,G/GS Series Windows
GS2,EU West,1124.2,,G/GS Series Windows
GS2,AP Southeast,1065.8,,G/GS Series Windows
GS2,US West,978.2,,G/GS Series Windows
GS2,US East 2,890.6,,G/GS Series Windows
GS3,US West 2,1633.74,,G/GS Series Windows
GS3,EU West,2248.4,,G/GS Series Windows
GS3,AP Southeast,2131.6,,G/GS Series Windows
GS3,US West,1956.4,,G/GS Series Windows
GS3,US East 2,1781.2,,G/GS Series Windows
GS4,US West 2,3266.7499999999995,,G/GS Series Windows
GS4,AP Southeast,4263.2,,G/GS Series Windows
GS4,EU West,4496.8,,G/GS Series Windows
GS4,US East 2,3562.4,,G/GS Series Windows
GS4,US West,3912.8,,G/GS Series Windows
GS5,US West 2,6409.4,,G/GS Series Windows
GS5,EU West,8103,,G/GS Series Windows
GS5,AP Southeast,7694.2,,G/GS Series Windows
GS5,US West,7044.5,,G/GS Series Windows
GS5,US East 2,6409.4,,G/GS Series Windows
H16,US East,1329.33,,H Promo Series Windows
H16,AP Southeast,1346.85,,H Promo Series Windows
H16,EU North,1387.73,,H Promo Series Windows
H16,US West,1387.73,,H Promo Series Windows
H16,US West 2,1234.43,,H Promo Series Windows
H16,EU West,1443.21,,H Promo Series Windows
H16,AP Southeast,2557.92,,H Series Windows
H16,US West 2,1648.34,,H Series Windows
H16,US West,2349.14,,H Series Windows
H16,EU West,2490.03,,H Series Windows
H16,US East,2560.84,,H Series Windows
H16,EU North,2208.25,,H Series Windows
H16m,US West 2,2042.54,,H Series Windows
H16m,AP Southeast,3170.39,,H Series Windows
H16m,EU West,1751.27,,H Promo Series Windows
H16m,EU North,1676.8100000000002,,H Promo Series Windows
H16m,US West 2,1470.95,,H Promo Series Windows
H16m,US West,1676.8100000000002,,H Promo Series Windows
H16m,AP Southeast,1622.06,,H Promo Series Windows
H16m,US East,1598.7,,H Promo Series Windows
H16m,US West,3147.0299999999997,,H Series Windows
H16m,EU North,2958.69,,H Series Windows
H16m,EU West,3336.1000000000004,,H Series Windows
H16m,US East,3430.27,,H Series Windows
H16mr,US West 2,1564.3899999999999,,H Promo Series Windows
H16mr,EU North,1790.6899999999998,,H Promo Series Windows
H16mr,US West,1790.6899999999998,,H Promo Series Windows
H16mr,US East,1704.55,,H Promo Series Windows
H16mr,AP Southeast,1730.1000000000001,,H Promo Series Windows
H16mr,EU West,1769.52,,H Promo Series Windows
H16mr,AP Southeast,3412.0200000000004,,H Series Windows
H16mr,US West 2,2198.76,,H Series Windows
H16mr,EU North,3254.34,,H Series Windows
H16mr,US West,3461.66,,H Series Windows
H16mr,US East,3773.37,,H Series Windows
H16mr,EU West,3669.71,,H Series Windows
H16r,US West,1472.4099999999999,,H Promo Series Windows
H16r,EU North,1472.4099999999999,,H Promo Series Windows
H16r,AP Southeast,1427.8799999999999,,H Promo Series Windows
H16r,US West 2,1303.78,,H Promo Series Windows
H16r,EU West,1533.73,,H Promo Series Windows
H16r,US East,1408.8999999999999,,H Promo Series Windows
H16r,US East,2816.34,,H Series Windows
H16r,AP Southeast,2738.23,,H Series Windows
H16r,US West 2,1764.4099999999999,,H Series Windows
H16r,EU North,2429.44,,H Series Windows
H16r,EU West,2738.96,,H Series Windows
H16r,US West,2584.2,,H Series Windows
H8,US West 2,616.85,,H Promo Series Windows
H8,EU North,693.5,,H Promo Series Windows
H8,AP Southeast,673.7900000000001,,H Promo Series Windows
H8,US East,665.03,,H Promo Series Windows
H8,EU West,721.24,,H Promo Series Windows
H8,US West,693.5,,H Promo Series Windows
H8,AP Southeast,1278.96,,H Series Windows
H8,US West 2,824.17,,H Series Windows
H8,EU West,1245.3799999999999,,H Series Windows
H8,US West,1175.3000000000002,,H Series Windows
H8,US East,1280.42,,H Series Windows
H8,EU North,1104.49,,H Series Windows
H8m,AP Southeast,811.03,,H Promo Series Windows
H8m,EU North,838.04,,H Promo Series Windows
H8m,US West,838.04,,H Promo Series Windows
H8m,US West 2,735.84,,H Promo Series Windows
H8m,US East,799.35,,H Promo Series Windows
H8m,EU West,875.2700000000001,,H Promo Series Windows
H8m,AP Southeast,1584.83,,H Series Windows
H8m,US West 2,1021.27,,H Series Windows
H8m,US East,1715.5,,H Series Windows
H8m,EU West,1668.0500000000002,,H Series Windows
H8m,EU North,1479.71,,H Series Windows
H8m,US West,1573.88,,H Series Windows
HB60rs,US East,3679.2,,HBS Series Windows
HB60rs,EU West,4178.52,,HBS Series Windows
HB60rs,AP Southeast,2089.26,,HBS Series Windows
HB60rs,US East 2,1839.6,,HBS Series Windows
HB60rs,EU North,2006.0400000000002,,HBS Series Windows
HC44rs,AP Southeast,4483.66,,HCS Series Windows
HC44rs,US West 2,3790.1600000000003,,HCS Series Windows
HC44rs,EU West,4483.66,,HCS Series Windows
HC44rs,US East,3790.1600000000003,,HCS Series Windows
HC44rs,EU North,2126.49,,HCS Series Windows
HC44rs,US East 2,1895.0800000000002,,HCS Series Windows
HC44rs,US West,2241.83,,HCS Series Windows
L16s,US West 2,1448.32,,LS Series Windows
L16s,EU West,1623.5200000000002,,LS Series Windows
L16s,US East 2,1592.86,,LS Series Windows
L16s,US West,1541.76,,LS Series Windows
L16s,AP Southeast,1629.3600000000001,,LS Series Windows
L32s,US West 2,2896.64,,LS Series Windows
L32s,US East 2,3186.4500000000003,,LS Series Windows
L32s,US West,3083.52,,LS Series Windows
L32s,AP Southeast,3258.7200000000003,,LS Series Windows
L32s,EU West,3247.0400000000004,,LS Series Windows
L4s,US West 2,362.08,,LS Series Windows
L4s,AP Southeast,407.34000000000003,,LS Series Windows
L4s,US East 2,398.58000000000004,,LS Series Windows
L4s,US West,385.44,,LS Series Windows
L4s,EU West,405.88000000000005,,LS Series Windows
L8s,US West 2,724.16,,LS Series Windows
L8s,US East 2,796.43,,LS Series Windows
L8s,EU West,811.7600000000001,,LS Series Windows
L8s,AP Southeast,814.6800000000001,,LS Series Windows
L8s,US West,770.88,,LS Series Windows
M128ms,EU North,30039.5,,MS Series Windows
M128ms,AP Southeast,34912.98,,MS Series Windows
M128ms,AP East,43642.1375,,MS Series Windows
M128ms,EU West,33937.115999999995,,MS Series Windows
M128ms,US East 2,26144.22,,MS Series Windows
M128ms,US West 2,26144.22,,MS Series Windows
M128ms,US East,26144.22,,MS Series Windows
M128s,AP East,23022.375,,MS Series Windows
M128s,US East,14034.98,,MS Series Windows
M128s,AP Southeast,18417.9,,MS Series Windows
M128s,EU West,17930.260000000002,,MS Series Windows
M128s,EU North,15982.619999999999,,MS Series Windows
M128s,US East 2,14034.98,,MS Series Windows
M128s,US West 2,14034.98,,MS Series Windows
M16ms,EU North,3524.44,,MS Series Windows
M16ms,AP East,5106.9887499999995,,MS Series Windows
M16ms,AP Southeast,4085.5910000000003,,MS Series Windows
M16ms,US East,3076.074,,MS Series Windows
M16ms,US East 2,3076.074,,MS Series Windows
M16ms,EU West,3973.39,,MS Series Windows
M16ms,US West 2,3076.074,,MS Series Windows
M16s,AP Southeast,3063.81,,MS Series Windows
M16s,EU North,2628,,MS Series Windows
M16s,AP East,3829.945,,MS Series Windows
M16s,US West 2,2279.79,,MS Series Windows
M16s,EU West,2976.794,,MS Series Windows
M16s,US East,2279.79,,MS Series Windows
M16s,US East 2,2279.79,,MS Series Windows
M32ls,AP Southeast,3583.5699999999997,,MS Series Windows
M32ls,EU North,3398.15,,MS Series Windows
M32ls,EU West,3583.5699999999997,,MS Series Windows
M32ls,AP East,4489.135,,MS Series Windows
M32ls,US East,3171.85,,MS Series Windows
M32ls,US East 2,3171.85,,MS Series Windows
M32ls,US West 2,3171.85,,MS Series Windows
M32ms,EU North,7048.88,,MS Series Windows
M32ms,AP East,10213.886250000001,,MS Series Windows
M32ms,US West 2,6152.148,,MS Series Windows
M32ms,US East,6152.148,,MS Series Windows
M32ms,US East 2,6152.148,,MS Series Windows
M32ms,EU West,7946.78,,MS Series Windows
M32ms,AP Southeast,8171.109,,MS Series Windows
M32s,AP East,5755.8675,,MS Series Windows
M32s,US East,3509.11,,MS Series Windows
M32s,US East 2,3509.11,,MS Series Windows
M32s,EU West,4482.93,,MS Series Windows
M32s,AP Southeast,4604.694,,MS Series Windows
M32s,US West 2,3509.11,,MS Series Windows
M32s,EU North,3996.02,,MS Series Windows
M32ts,EU West,3445.6,,MS Series Windows
M32ts,AP Southeast,3445.6,,MS Series Windows
M32ts,AP East,4307.365,,MS Series Windows
M32ts,US West 2,3050.67,,MS Series Windows
M32ts,US East,3050.67,,MS Series Windows
M32ts,US East 2,3050.67,,MS Series Windows
M32ts,EU North,3268.0421,,MS Series Windows
M64ls,AP East,8615.825,,MS Series Windows
M64ls,EU North,6536.8945,,MS Series Windows
M64ls,US West 2,6102.07,,MS Series Windows
M64ls,AP Southeast,6892.66,,MS Series Windows
M64ls,EU West,6892.66,,MS Series Windows
M64ls,US East,6102.07,,MS Series Windows
M64ls,US East 2,6102.07,,MS Series Windows
M64ms,US West 2,10687.93,,MS Series Windows
M64ms,EU North,12280.79,,MS Series Windows
M64ms,AP Southeast,14272.96,,MS Series Windows
M64ms,AP East,17842.1125,,MS Series Windows
M64ms,US East,10687.93,,MS Series Windows
M64ms,US East 2,10687.93,,MS Series Windows
M64ms,EU West,13896.28,,MS Series Windows
M64s,AP East,11511.1875,,MS Series Windows
M64s,AP Southeast,9208.95,,MS Series Windows
M64s,US East,7017.49,,MS Series Windows
M64s,EU North,7991.3099999999995,,MS Series Windows
M64s,EU West,8965.130000000001,,MS Series Windows
M64s,US East 2,7017.49,,MS Series Windows
M64s,US West 2,7017.49,,MS Series Windows
M8ms,EU North,1762.22,,MS Series Windows
M8ms,AP Southeast,2042.54,,MS Series Windows
M8ms,EU West,1986.3300000000002,,MS Series Windows
M8ms,AP East,2553.44875,,MS Series Windows
M8ms,US East,1538.037,,MS Series Windows
M8ms,US West 2,1538.037,,MS Series Windows
M8ms,US East 2,1538.037,,MS Series Windows
NC12,US East,981.12,,NC Promo Series Windows
NC12,AP Southeast,1251.22,,NC Promo Series Windows
NC12,EU North,1027.1100000000001,,NC Promo Series Windows
NC12,EU West,1154.8600000000001,,NC Promo Series Windows
