EffectiveDate,MeterName,MeterSubCategory,MeterRegion,PerHour,PerMonth
10-Dec-2018,G5/GS5 Low Priority,G/GS Series,AP East,2.16,1576.8000000000002
30-Nov-2019,E64a v4/E64as v4,Eav4/Easv4 Series Windows,US East 2,6.976,5092.48
30-Sep-2015,D4/DS4,D/DS Series,EU North,0.584,426.32
26-Apr-2018,M64ls Low Priority,MS Series,EU West,1.2996,948.7080000000001
28-Feb-2017,A7 Low Priority,A Series,US East,0.2,146
16-Jun-2017,D64 v3/D64s v3,Dv3/DSv3 Series Windows,EU West,6.784,4952.32
19-Mar-2019,Fsv2 Type2,FSv2 Series Dedicated Host,EU North,3.802,2775.46
31-Aug-2018,D4 v2/DS4 v2 - Expired,Dv2/DSv2 Promo Series Windows,AP East,1.333,973.0899999999999
31-Mar-2017,E16 v3/E16s v3,Ev3/ESv3 Series Windows,AP Southeast,2.016,1471.68
31-Mar-2019,D11/DS11 Low Priority,D/DS Series Windows,EU West,0.112,81.76
03-May-2016,H16r,H Series Windows,EU North,3.328,2429.44
31-Jul-2019,F16s v2,FSv2 Series Windows,AP East,1.6,1168
30-Dec-2018,HC44rs,HCS Series Windows,EU North,2.913,2126.49
26-Apr-2018,M16ms,MS Series,EU West,4.3022,3140.606
30-Nov-2019,E2a v4/E2as v4,Eav4/Easv4 Series,EU West,0.152,110.96
31-Jan-2016,D15 v2/DS15 v2,Dv2/DSv2 Series Windows,AP East,3.518,2568.14
31-Mar-2017,A4m v2 Low Priority,Av2 Series Windows,AP Southeast,0.17,124.10000000000001
02-Nov-2017,L16s Low Priority,LS Series,US East 2,0.275,200.75000000000003
31-Mar-2017,A8m v2 Low Priority,Av2 Series,AP East,0.157,114.61
02-Nov-2017,F16/F16s Low Priority,F/FS Series,AP Southeast,0.185,135.05
10-Jan-2019,H16mr,H Promo Series,EU West,1.688,1232.24
31-Oct-2016,A4m v2,Av2 Series,AP East,0.374,273.02
31-May-2015,G4/GS4,G/GS Series,EU West,5.6,4087.9999999999995
08-May-2019,L48s v2,LSv2 Series,AP Southeast,4.488,3276.2400000000002
30-Apr-2014,A5,A Series Windows,EU North,0.3,219
30-Nov-2017,H8 Low Priority,H Series,EU West,0.206,150.38
02-Nov-2017,L8s Low Priority,LS Series Windows,AP Southeast,0.446,325.58
31-May-2018,M64ms Low Priority,MS Series Windows,US East,5.856,4274.88
30-Nov-2019,E64a v4/E64as v4,Eav4/Easv4 Series Windows,EU North,7.456,5442.88
31-Aug-2018,D14 v2/DS14 v2 - Expired,Dv2/DSv2 Promo Series Windows,US East,2.111,1541.0300000000002
31-Mar-2017,NV24 Low Priority,NV Series Windows,EU West,2.552,1862.96
02-Nov-2017,F16/F16s Low Priority,F/FS Series,AP East,0.231,168.63
10-Jan-2019,H8,H Promo Series,EU North,0.582,424.85999999999996
31-Mar-2019,M208ms v2,MSv2 Series Windows,US East 2,54.188,39557.240000000005
31-Jul-2018,NC12s v3 Low Priority,NCSv3 Series Windows,US East 2,2.67264,1951.0272
10-Jan-2019,H16,H Promo Series Windows,US East,1.821,1329.33
31-Mar-2019,M16s,MS Series Windows,AP Southeast,4.197,3063.81
02-Nov-2017,H16mr Low Priority,H Series,AP Southeast,0.545,397.85
10-Oct-2018,DC2s Low Priority,DCS Series Windows,EU West,0.121,88.33
30-Nov-2017,A4 Low Priority,A Series Basic Windows,US East 2,0.2368,172.864
30-Nov-2016,NC24R,NC Series Windows,EU North,5.086,3712.78
31-Oct-2018,F64s v2,FSv2 Series,EU West,3.104,2265.92
30-Jun-2019,PB12s,PB Series,US East,1.66,1211.8
16-Nov-2017,ND6s,NDS Series Windows,US East,2.493,1819.8899999999999
31-Jan-2016,D5 v2/DS5 v2,Dv2/DSv2 Series,AP East,1.714,1251.22
31-Mar-2017,H8m Low Priority,H Series,EU North,0.26,189.8
30-Nov-2017,NV24 Low Priority,NV Series,EU North,0.968,706.64
02-Nov-2017,F1/F1s Low Priority,F/FS Series Windows,EU West,0.041,29.93
30-Apr-2019,M8ms,MS Series Windows,EU North,2.414,1762.22
30-Nov-2019,D8a v4/D8as v4 Low Priority,Dav4/Dasv4 Series Windows,US East,0.301,219.73
02-Nov-2017,M128s Low Priority,MS Series Windows,AP Southeast,10.092,7367.160000000001
31-Oct-2018,B4ms,BS Series,US East,0.166,121.18
09-Jun-2019,D15i v2/DS15i v2,Dv2/DSv2 Series Windows,US East,2.639,1926.4699999999998
30-Apr-2017,A11 Low Priority,A Series Windows,US East,0.938,684.74
31-May-2018,F1/F1s Low Priority,F/FS Series,US East 2,0.0099,7.227
31-Jan-2016,D12 v2/DS12 v2,Dv2/DSv2 Series,AP East,0.459,335.07
09-Aug-2018,ND40s v2 Low Priority,NDSv2 Series Windows,AP East,12.05,8796.5
16-Nov-2017,ND6s,NDS Series,US East,2.07,1511.1
31-Mar-2017,A4 v2 Low Priority,Av2 Series Windows,US East,0.114,83.22
31-Mar-2017,A1 v2 Low Priority,Av2 Series Windows,AP Southeast,0.027,19.71
31-Mar-2017,A2m v2 Low Priority,Av2 Series,US East 2,0.024,17.52
31-Aug-2018,D11 v2/DS11 v2 - Expired,Dv2/DSv2 Promo Series Windows,US East,0.264,192.72
03-Feb-2017,F1/F1s,F/FS Series Windows,AP Southeast,0.104,75.92
31-May-2018,D4 v3/D4s v3,Dv3/DSv3 Series,US East 2,0.192,140.16
02-Nov-2017,D32 v3/D32s v3 Low Priority,Dv3/DSv3 Series,AP Southeast,0.4,292
31-Mar-2019,D11/DS11 Low Priority,D/DS Series,EU West,0.0442,32.266000000000005
31-Dec-2018,E20 v3/E20s v3 Low Priority,Ev3/ESv3 Series Windows,US East,0.872,636.56
16-Jun-2017,H8,H Series Windows,AP Southeast,1.752,1278.96
09-Aug-2019,NV12s v3,NVSv3 Series,AP Southeast,1.59,1160.7
30-Apr-2017,D14 v2/DS14 v2 Low Priority,Dv2/DSv2 Series Windows,US East 2,0.778,567.94
31-Aug-2018,D14 v2/DS14 v2 - Expired,Dv2/DSv2 Promo Series Windows,AP Southeast,2.363,1724.99
31-May-2018,D13 v2/DS13 v2,Dv2/DSv2 Series Windows,US East 2,0.972,709.56
30-Nov-2019,E32a v4/E32as v4,Eav4/Easv4 Series,EU West,2.432,1775.36
31-Aug-2015,A9,A Series,EU North,1.95,1423.5
02-Dec-2019,Type 2 HM,MSv2 Series Dedicated Host,EU West,141.78,103499.4
31-May-2018,ND24rs Low Priority,NDS Series Windows,US East,4.388,3203.24
31-May-2018,D64 v3/D64s v3,Dv3/DSv3 Series,US East 2,3.072,2242.56
31-May-2018,F2/F2s,F/FS Series Windows,US East 2,0.192,140.16
30-Apr-2017,A1 Low Priority,A Series Windows,US East 2,0.036,26.279999999999998
31-Mar-2019,L4s Low Priority,LS Series,US East 2,0.0686,50.077999999999996
31-Mar-2017,L16s,LS Series Windows,EU West,2.224,1623.5200000000002
31-Mar-2019,M64s,MS Series,AP Southeast,9.67,7059.1
30-Nov-2017,M128ms Low Priority,MS Series Windows,EU West,18.59568,13574.8464
31-May-2018,D12 v2/DS12 v2,Dv2/DSv2 Series Windows,US East,0.528,385.44
28-Feb-2017,D14 v2/DS14 v2 Low Priority,Dv2/DSv2 Series,AP Southeast,0.306,223.38
28-Feb-2019,F8/F8s Low Priority,F/FS Series,EU West,0.0909,66.357
30-Nov-2019,E32a v4/E32as v4 Low Priority,Eav4/Easv4 Series,US East,0.403,294.19
10-Jan-2019,H16mr,H Promo Series Windows,EU North,2.453,1790.6899999999998
31-Aug-2018,D14 v2/DS14 v2 - Expired,Dv2/DSv2 Promo Series,US East 2,1.196,873.0799999999999
08-May-2019,E48 v3/E48s v3,Ev3/ESv3 Series,EU West,3.647,2662.31
31-Mar-2017,NV24 Low Priority,NV Series,EU West,1.092,797.1600000000001
31-May-2018,H16r,H Series Windows,US East,3.858,2816.34
30-Nov-2019,E4a v4/E4as v4 Low Priority,Eav4/Easv4 Series Windows,EU West,0.195,142.35
03-Feb-2017,F16/F16s,F/FS Series Windows,EU West,1.645,1200.85
30-Apr-2017,A6 Low Priority,A Series Windows,EU North,0.24,175.2
10-Jan-2019,H16m,H Promo Series Windows,EU West,2.399,1751.27
10-Dec-2018,M128ms Low Priority,MS Series,AP East,9.675,7062.750000000001
30-Nov-2019,E2a v4/E2as v4,Eav4/Easv4 Series Windows,US East,0.218,159.14
09-Aug-2018,M32ts,MS Series,AP East,4.0605,2964.165
24-Jan-2019,L80s v2,LSv2 Series Windows,EU North,10.56,7708.8
30-Apr-2019,M16ms Low Priority,MS Series Windows,EU West,2.177,1589.21
31-Mar-2019,D3/DS3 Low Priority,D/DS Series,US East,0.0616,44.968
31-May-2018,D13 v2/DS13 v2,Dv2/DSv2 Series Windows,EU West,1.114,813.22
30-Nov-2019,D48a v4/D48as v4,Dav4/Dasv4 Series,US East 2,2.304,1681.9199999999998
31-Mar-2019,M16s,MS Series,AP Southeast,3.461,2526.5299999999997
08-May-2019,D48 v3/D48s v3 Low Priority,Dv3/DSv3 Series,US East 2,0.461,336.53000000000003
28-Feb-2017,D12 v2/DS12 v2 Low Priority,Dv2/DSv2 Series,US East,0.074,54.019999999999996
31-Oct-2016,A4 v2,Av2 Series Windows,AP East,0.333,243.09
31-Mar-2019,M32ts,MS Series,AP Southeast,3.248,2371.04
08-May-2019,E48 v3/E48s v3,Ev3/ESv3 Series,EU North,3.384,2470.3199999999997
28-Feb-2017,A3 Low Priority,A Series,US East 2,0.048,35.04
10-Jan-2019,NV12,NV Promo Series Windows,US East,1.92,1401.6
31-Aug-2018,D3 v2/DS3 v2 - Expired,Dv2/DSv2 Promo Series,US East 2,0.229,167.17000000000002
31-Mar-2019,M16s Low Priority,MS Series Windows,US East 2,1.249,911.7700000000001
07-Apr-2019,M208s v2 Low Priority,MSv2 Series,AP Southeast,5.801,4234.7300000000005
31-Aug-2016,D3 v2/DS3 v2,Dv2/DSv2 Series,US East 2,0.229,167.17000000000002
08-May-2019,L48s v2,LSv2 Series Windows,US East 2,5.952,4344.96
31-Oct-2018,B2s,BS Series Windows,US East,0.0496,36.208
31-Mar-2019,D2 v2/DS2 v2 Low Priority,Dv2/DSv2 Series,AP East,0.0428,31.244
26-Apr-2018,M8ms,MS Series Windows,US East,2.1069,1538.037
31-Oct-2016,A2m v2,Av2 Series Windows,AP Southeast,0.203,148.19
31-May-2018,D11 v2/DS11 v2,Dv2/DSv2 Series Windows,EU North,0.243,177.39
09-Aug-2018,M32ls,MS Series,AP East,4.3095,3145.935
31-May-2018,E16 v3/E16s v3 Low Priority,Ev3/ESv3 Series,US East 2,0.213,155.49
30-Sep-2017,H8m,H Series,EU West,1.383,1009.59
31-Mar-2019,NC24s v2,NCSv2 Series Windows,EU West,12.759,9314.07
09-Aug-2018,M32s,MS Series,AP East,6.04475,4412.6675
31-Aug-2018,D3 v2/DS3 v2 - Expired,Dv2/DSv2 Promo Series Windows,AP East,0.667,486.91
09-Aug-2018,ND40s v2,NDSv2 Series Windows,AP Southeast,24.286,17728.780000000002
08-May-2019,D48 v3/D48s v3 Low Priority,Dv3/DSv3 Series Windows,EU North,1.911,1395.03
08-May-2019,B20ms,BS Series,EU North,0.909,663.57
30-Apr-2017,D15 v2/DS15 v2 Low Priority,Dv2/DSv2 Series Windows,AP Southeast,1.182,862.8599999999999
16-Nov-2017,ND24rs,NDS Series,US East,9.108,6648.84
31-Jul-2019,NV24s v3 Low Priority,NVSv3 Series,US East,0.456,332.88
30-Nov-2019,E4a v4/E4as v4 Low Priority,Eav4/Easv4 Series Windows,EU North,0.186,135.78
16-Aug-2018,B1ms,BS Series Windows,US East,0.0246,17.958000000000002
31-May-2018,F8/F8s,F/FS Series Windows,AP East,1.036,756.28
31-Mar-2017,NC6 Low Priority,NC Series Windows,AP Southeast,0.622,454.06
27-Feb-2019,M208s v2,MSv2 Series,EU North,26.772,19543.559999999998
31-Oct-2016,A4 v2,Av2 Series Windows,EU West,0.274,200.02
08-May-2019,B12ms,BS Series,US East,0.499,364.27
31-Jul-2019,E64i v3/E64is v3 Low Priority,Ev3/ESv3 Series,AP East,0.962,702.26
19-Oct-2017,L8s v2 Low Priority,LSv2 Series Windows,EU West,0.445,324.85
30-Nov-2019,E2a v4/E2as v4,Eav4/Easv4 Series,AP Southeast,0.152,110.96
31-May-2018,M64ms,MS Series Windows,US East,14.641,10687.93
02-Nov-2017,L4s Low Priority,LS Series Windows,EU West,0.222,162.06
31-May-2018,E4 v3/E4s v3,Ev3/ESv3 Series,US East 2,0.266,194.18
10-Jan-2019,NC24,NC Promo Series,US East,1.584,1156.3200000000002
28-Feb-2019,F16s v2 Low Priority,FSv2 Series,US East 2,0.135,98.55000000000001
31-May-2018,E32 v3/E32s v3 Low Priority,Ev3/ESv3 Series Windows,US East 2,1.44,1051.2
31-Jul-2018,NC12s v3,NCSv3 Series,US East 2,6.12,4467.6
28-Feb-2017,D5 v2/DS5 v2 Low Priority,Dv2/DSv2 Series,US East,0.234,170.82000000000002
31-Jan-2016,D15 v2/DS15 v2,Dv2/DSv2 Series Windows,US East,2.639,1926.4699999999998
28-Feb-2017,A2 Low Priority,A Series,AP East,0.024,17.52
30-Nov-2014,A2,A Series,US East 2,0.12,87.6
31-Mar-2017,A4 v2 Low Priority,Av2 Series Windows,AP East,0.133,97.09
08-May-2019,D48 v3/D48s v3,Dv3/DSv3 Series,EU North,2.568,1874.64
30-Apr-2017,D2/DS2 Low Priority,D/DS Series Windows,EU North,0.103,75.19
30-Apr-2017,A9 Low Priority,A Series Windows,US East,1.173,856.2900000000001
31-Mar-2016,F2/F2s,F/FS Series Windows,EU North,0.204,148.92
30-Nov-2017,A3 Low Priority,A Series Basic,AP Southeast,0.0464,33.872
31-Mar-2019,M32s Low Priority,MS Series Windows,US East 2,1.923,1403.79
31-Mar-2019,D2/DS2 Low Priority,D/DS Series,EU West,0.0336,24.528
17-Aug-2017,F16s v2 Low Priority,FSv2 Series,US East,0.135,98.55000000000001
28-Feb-2017,D3/DS3 Low Priority,D/DS Series,AP Southeast,0.078,56.94
28-Feb-2019,D11/DS11 Low Priority,D/DS Series Windows,AP East,0.141,102.92999999999999
08-May-2019,F48s v2,FSv2 Series Windows,EU West,4.537,3312.0099999999998
30-Nov-2017,A2 Low Priority,A Series Basic Windows,US East 2,0.044,32.12
31-Jul-2019,D2 v3/D2s v3,Dv3/DSv3 Series Windows,AP East,0.224,163.52
31-Dec-2018,E16 v3/E16s v3 Low Priority,Ev3/ESv3 Series,US East,0.202,147.46
10-Jan-2019,NV6,NV Promo Series Windows,AP Southeast,1.23,897.9
14-Dec-2017,D32 v3/D32s v3,Dv3/DSv3 Series Windows,EU North,3.184,2324.32
31-May-2018,D2 v3/D2s v3 Low Priority,Dv3/DSv3 Series,US East,0.019,13.87
31-May-2015,G1/GS1,G/GS Series,EU West,0.7,510.99999999999994
03-May-2016,H16mr,H Series Windows,EU North,4.458,3254.34
10-Jan-2019,H8m,H Promo Series,AP Southeast,0.743,542.39
27-Feb-2019,M208ms v2,MSv2 Series,US East,44.62,32572.6
30-Sep-2017,H8,H Series,EU West,1.032,753.36
31-May-2018,NC12 Low Priority,NC Series,US East 2,0.36,262.8
10-Dec-2018,M32ls Low Priority,MS Series Windows,AP East,2.46,1795.8
30-Nov-2017,A3 Low Priority,A Series Basic,US East,0.0352,25.696
02-Nov-2017,D16 v3/D16s v3 Low Priority,Dv3/DSv3 Series Windows,EU West,0.678,494.94000000000005
31-Mar-2017,NC6 Low Priority,NC Series,US East,0.18,131.4
31-May-2018,D12/DS12 Low Priority,D/DS Series,US East,0.077,56.21
10-Oct-2018,DC2s,DCS Series,EU West,0.257,187.61
31-Mar-2017,A2 v2 Low Priority,Av2 Series Windows,US East 2,0.054,39.42
17-Aug-2017,M64s Low Priority,MS Series Windows,EU West,4.912,3585.7599999999998
31-Mar-2019,D1 v2/DS1 v2 Low Priority,Dv2/DSv2 Series,US East,0.0146,10.658
28-Feb-2019,F2s v2,FSv2 Series,US East 2,0.0846,61.757999999999996
16-Jun-2017,D32 v3/D32s v3,Dv3/DSv3 Series Windows,EU West,3.392,2476.16
10-Dec-2018,G4/GS4 Low Priority,G/GS Series Windows,EU North,2.144,1565.1200000000001
30-Nov-2014,A3,A Series,EU West,0.24,175.2
31-May-2018,F4/F4s,F/FS Series Windows,US East 2,0.383,279.59000000000003
31-Jul-2019,B2s,BS Series,AP East,0.0584,42.632
30-Apr-2017,D14/DS14 Low Priority,D/DS Series Windows,US East 2,0.778,567.94
30-Nov-2019,E4a v4/E4as v4,Eav4/Easv4 Series Windows,US East,0.436,318.28
31-Oct-2013,A0,A Series Windows,AP East,0.02,14.6
08-May-2019,D48 v3/D48s v3,Dv3/DSv3 Series,US East,2.304,1681.9199999999998
02-Nov-2017,D4 v3/D4s v3 Low Priority,Dv3/DSv3 Series,AP Southeast,0.05,36.5
31-Dec-2018,E8 v3/E8s v3,Ev3/ESv3 Series,US East,0.504,367.92
02-Feb-2017,E2 v3/E2s v3,Ev3/ESv3 Series,AP Southeast,0.16,116.8
31-Aug-2018,D2 v2/DS2 v2 - Expired,Dv2/DSv2 Promo Series,AP East,0.214,156.22
31-Mar-2017,A2 v2 Low Priority,Av2 Series Windows,EU North,0.052,37.96
27-Feb-2019,M416s v2,MSv2 Series Windows,US East,68.716,50162.67999999999
30-Nov-2019,D32a v4/D32as v4,Dav4/Dasv4 Series,US East,1.536,1121.28
10-Jan-2019,H16r,H Promo Series Windows,EU North,2.017,1472.4099999999999
31-Oct-2016,A4 v2,Av2 Series,EU North,0.183,133.59
30-Apr-2018,NC24s v3,NCSv3 Series Windows,US East,13.712,10009.76
26-Apr-2018,M32ls,MS Series Windows,US East,4.345,3171.85
09-Oct-2019,ND40rs v2,NDrSv2 Series,EU West,27.526,20093.98
31-Mar-2019,E2 v3/E2s v3 Low Priority,Ev3/ESv3 Series,US East 2,0.0252,18.396
31-Jul-2019,NV48s v3,NVSv3 Series Windows,EU North,7.046,5143.58
08-May-2019,B20ms,BS Series Windows,EU North,0.989,721.97
28-Feb-2017,D13 v2/DS13 v2 Low Priority,Dv2/DSv2 Series,EU North,0.148,108.03999999999999
30-Apr-2017,A2 Low Priority,A Series Windows,EU West,0.072,52.559999999999995
31-Oct-2018,F72s v2 Low Priority,FSv2 Series,EU West,0.698,509.53999999999996
08-May-2019,F48s v2 Low Priority,FSv2 Series Windows,AP Southeast,1.824,1331.52
31-Oct-2018,B1s,BS Series Windows,AP Southeast,0.0172,12.556
30-Nov-2019,D48a v4/D48as v4,Dav4/Dasv4 Series,EU North,2.568,1874.64
30-Nov-2019,D64a v4/D64as v4,Dav4/Dasv4 Series Windows,US East,6.016,4391.68
30-Apr-2017,D3/DS3 Low Priority,D/DS Series Windows,EU North,0.206,150.38
31-Dec-2018,E64i v3/E64is v3 Low Priority,Ev3/ESv3 Series Windows,AP Southeast,3.021,2205.33
31-Aug-2018,D13 v2/DS13 v2 - Expired,Dv2/DSv2 Promo Series Windows,US East,1.056,770.88
30-Nov-2019,E16a v4/E16as v4,Eav4/Easv4 Series,EU West,1.216,887.68
09-Oct-2019,E96a v4/E96as v4 Low Priority,Eav4/Easv4 Series,AP Southeast,1.459,1065.0700000000002
30-Apr-2019,NC24rs v3,NCSv3 Series Windows,EU West,18.036,13166.28
31-Jan-2016,D4 v2/DS4 v2,Dv2/DSv2 Series,AP East,0.857,625.61
30-Apr-2019,M8ms Low Priority,MS Series Windows,US East 2,0.843,615.39
31-Oct-2018,B2s,BS Series Windows,US East 2,0.0496,36.208
09-Oct-2019,E96a v4/E96as v4,Eav4/Easv4 Series,US East,6.048,4415.04
30-Sep-2015,D2/DS2,D/DS Series,US East 2,0.134,97.82000000000001
13-Feb-2018,F4s v2,FSv2 Series Windows,EU North,0.376,274.48
16-Jun-2017,D16 v3/D16s v3,Dv3/DSv3 Series Windows,EU West,1.696,1238.08
28-Feb-2019,F16/F16s Low Priority,F/FS Series Windows,AP East,0.829,605.17
30-Apr-2014,A5,A Series Windows,AP Southeast,0.32,233.6
31-Aug-2018,D11 v2/DS11 v2 - Expired,Dv2/DSv2 Promo Series,AP East,0.229,167.17000000000002
31-Mar-2019,D11 v2/DS11 v2 Low Priority,Dv2/DSv2 Series,EU West,0.0379,27.667
31-Mar-2019,NV6 Low Priority,NV Series,EU West,0.273,199.29000000000002
29-Jan-2018,NC24rs v2 Low Priority,NCSv2 Series,AP Southeast,2.674,1952.02
31-Mar-2019,D4 v2/DS4 v2 Low Priority,Dv2/DSv2 Series Windows,AP Southeast,0.464,338.72
31-Mar-2017,L8s,LS Series Windows,US East 2,1.091,796.43
31-Aug-2016,D14 v2/DS14 v2,Dv2/DSv2 Series,EU West,1.518,1108.14
30-Jun-2019,HC44rs,HCS Series,EU West,4.118,3006.1400000000003
31-Mar-2019,NV6 Low Priority,NV Series Windows,EU North,0.583,425.59
26-Apr-2018,M32ls,MS Series,AP Southeast,3.4476,2516.748
31-Oct-2016,A4m v2,Av2 Series Windows,EU North,0.441,321.93
17-Aug-2017,F64s v2 Low Priority,FSv2 Series Windows,AP Southeast,2.258,1648.34
30-Nov-2019,D64a v4/D64as v4,Dav4/Dasv4 Series,EU North,3.424,2499.52
30-Apr-2017,D4/DS4 Low Priority,D/DS Series Windows,AP East,0.592,432.15999999999997
30-Apr-2017,D5 v2/DS5 v2 Low Priority,Dv2/DSv2 Series Windows,EU North,0.743,542.39
28-Feb-2017,A3 Low Priority,A Series,US East,0.048,35.04
30-Nov-2019,D48a v4/D48as v4,Dav4/Dasv4 Series Windows,US East,4.512,3293.7599999999998
30-Apr-2017,D14/DS14 Low Priority,D/DS Series Windows,EU West,0.894,652.62
31-Jul-2019,NV24s v3,NVSv3 Series Windows,EU North,3.524,2572.52
30-Nov-2019,E20a v4/E20as v4 Low Priority,Eav4/Easv4 Series,US East,0.252,183.96
26-Apr-2018,M16s Low Priority,MS Series,EU North,0.5729,418.217
31-Oct-2018,B1s,BS Series,US East 2,0.0104,7.592
27-Feb-2019,M416s v2 Low Priority,MSv2 Series,EU North,11.899,8686.269999999999
31-May-2018,D12/DS12,D/DS Series Windows,AP East,0.703,513.1899999999999
26-Apr-2018,M64ls,MS Series,AP Southeast,6.498,4743.54
08-May-2019,E48 v3/E48s v3,Ev3/ESv3 Series Windows,EU West,5.855,4274.150000000001
31-Oct-2018,F8s v2,FSv2 Series,EU West,0.388,283.24
31-Jul-2019,B8ms,BS Series,AP East,0.467,340.91
29-Jan-2018,F8s v2 Low Priority,FSv2 Series Windows,EU North,0.3008,219.584
31-Oct-2013,A0,A Series,EU West,0.02,14.6
31-Mar-2019,D1 v2/DS1 v2 Low Priority,Dv2/DSv2 Series,AP Southeast,0.0158,11.534
30-Jun-2019,PB24s,PB Series,AP Southeast,4.316,3150.68
13-Feb-2018,F8s v2,FSv2 Series Windows,EU North,0.752,548.96
02-Dec-2019,Type 3,Easv4 Series Dedicated Host,EU West,7.993,5834.89
31-Aug-2018,D13 v2/DS13 v2 - Expired,Dv2/DSv2 Promo Series,EU North,0.741,540.93
10-Jan-2019,H8m,H Promo Series,EU North,0.78,569.4
31-May-2018,H16 Low Priority,H Series,US East,0.361,263.53
30-Nov-2019,D64a v4/D64as v4,Dav4/Dasv4 Series,AP Southeast,3.84,2803.2
28-Feb-2019,D2 v3/D2s v3 Low Priority,Dv3/DSv3 Series Windows,EU West,0.0848,61.904
31-Mar-2017,L16s,LS Series Windows,US East 2,2.182,1592.86
08-May-2019,E48 v3/E48s v3 Low Priority,Ev3/ESv3 Series Windows,US East,2.093,1527.8899999999999
08-May-2019,B16ms,BS Series,AP Southeast,0.845,616.85
08-May-2019,E48 v3/E48s v3 Low Priority,Ev3/ESv3 Series,US East 2,0.605,441.65
28-Feb-2019,F4/F4s Low Priority,F/FS Series,US East 2,0.0398,29.054000000000002
28-Feb-2017,D2 v2/DS2 v2 Low Priority,Dv2/DSv2 Series,EU West,0.027,19.71
31-Mar-2017,L16s,LS Series,AP Southeast,1.496,1092.08
31-Aug-2016,D13 v2/DS13 v2,Dv2/DSv2 Series,EU West,0.759,554.07
30-Jun-2019,PB24s,PB Series Windows,AP Southeast,5.751,4198.2300000000005
28-Feb-2017,A4 Low Priority,A Series,AP Southeast,0.096,70.08
31-Aug-2018,D11 v2/DS11 v2 - Expired,Dv2/DSv2 Promo Series,EU North,0.185,135.05
31-Mar-2017,NV24 Low Priority,NV Series Windows,EU North,2.332,1702.36
30-Nov-2016,NC24R,NC Series Windows,US East,4.77,3482.1
31-Jul-2018,NC24rs v3 Low Priority,NCSv3 Series,US East 2,2.6928,1965.7440000000001
30-Nov-2019,D2a v4/D2as v4,Dav4/Dasv4 Series Windows,EU North,0.199,145.27
10-Jan-2019,NC6,NC Promo Series,US East 2,0.396,289.08000000000004
09-Aug-2018,ND40s v2 Low Priority,NDSv2 Series,EU West,3.606,2632.38
30-Nov-2019,D48a v4/D48as v4,Dav4/Dasv4 Series,AP Southeast,2.88,2102.4
